Gestionnaire,RaisonSociale,categ,info_categ,Commune,NomCommune,Pollution,PopLegaleTotale,
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31090,Brignemont,O,379,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31091,Bruguières,O,4995,1
31092000A,COMMUNE DE BURGALAYS ,2A01,Communes du bassin,31092,Burgalays,O,132,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31093,Burgaud,O,623,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31094,Buzet sur Tarn,O,2188,1
31020001A,SYNDICAT DES EAUX ET DE L'ASSAINISSEMENT DE LA VALLEE DU JOB,3D04,"Syndicat d'assainisement, eau potable",31095,Cabanac Cazaux,O,116,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31096,Cabanac Séguenville,O,159,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31097,Cabanial,O,345,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31098,Cadours,O,1052,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31099,Caignac,O,258,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31100,Calmont,O,2071,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31101,Cambernard,O,435,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31102,Cambiac,O,204,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31103,Canens,O,59,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31104,Capens,O,484,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31104,Capens,O,484,0
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31105,Caragoudes,O,249,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31106,Caraman,O,2392,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31107,Carbonne,O,5038,1
31107000A,COMMUNE DE CARBONNE ,2A01,Communes du bassin,31107,Carbonne,O,5038,0
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31108,Cardeilhac,O,257,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31109,Cassagnabère Tournas,O,406,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31110,Cassagne,O,650,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31111,Castagnac,O,299,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31112,Castagnède,O,181,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31113,Castanet Tolosan,O,11037,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31114,Castelbiague,O,231,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31115,Castelgaillard,O,57,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31116,Castelginest,O,8725,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31117,Castelmaurou,O,3496,1
31490001A,S.I.A.E.P. DE LA REGION DE ST JORY CASTELNAU D'ESTRETEFONDS,3D04,"Syndicat d'assainisement, eau potable",31118,Castelnau d'Estrétefonds,O,5252,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31119,Castelnau Picampeau,O,187,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31120,Castéra,O,754,1
