city_code,city_name,population,lat,lng,public_gestion,price
31482, Saint-Frajou ,184,43.333333,0.85,0,1.342
31483, Saint-Gaudens ,12142,43.116667,0.733333,0,1.342
31484, Saint-Geniès-Bellevue ,2198,43.683333,1.483333,0,1.115
31485, Saint-Germier ,98,43.475,1.733333,1,1.325
31486, Saint-Hilaire ,1084,43.416667,1.266667,1,1.424
31487, Saint-Ignan ,278,43.15,0.7,0,1.342
31488, Saint-Jean ,10105,43.666667,1.5,0,1.115
31489, Saint-Jean-Lherm ,362,43.7,1.616667,0,1.726
31490, Saint-Jory ,5082,43.733333,1.383333,1,1.6
31491, Saint-Julia ,386,43.483333,1.9,1,1.325
31492, Saint-Julien ,463,43.233333,1.166667,1,1.499
31494, Saint-Laurent ,162,43.316667,0.8,0,1.342
31495, Saint-Léon ,1067,43.4,1.566667,1,0
31496, Sainte-Livrade ,294,43.65,1.1,1,1.413
31497, Saint-Loup-Cammas ,1853,43.7,1.483333,0,1.115
31498, Saint-Loup-en-Comminges ,40,43.25,0.566667,0,1.342
31499, Saint-Lys ,8409,43.516667,1.2,1,1.424
31500, Saint-Mamet ,633,42.783333,0.6,1,0
31501, Saint-Marcel-Paulel ,461,43.666667,1.6,1,1.325
31502, Saint-Marcet ,405,43.2,0.75,0,1.342
31503, Saint-Martory ,862,43.15,0.933333,0,1.342
31505, Saint-Michel ,328,43.166667,1.083333,1,0
31506, Saint-Orens-de-Gameville ,11128,43.55,1.533333,0,1.729
31508, Saint-Paul-d'Oueil ,53,42.833333,0.55,1,0
31509, Saint-Pé-d'Ardet ,136,42.983333,0.666667,0,1.342
31510, Saint-Pé-Delbosc ,125,43.266667,0.683333,0,1.342
31512, Saint-Pierre-de-Lages ,763,43.566667,1.616667,1,1.325
31513, Saint-Plancard ,388,43.166667,0.566667,0,1.342
31515, Saint-Rustice ,437,43.8,1.316667,1,1.6
31517, Saint-Sulpice-sur-Lèze ,1871,43.333333,1.333333,1,1.3
31518, Saint-Thomas ,571,43.516667,1.083333,1,1.424
31520, Sajas ,94,43.366667,1.016667,1,1.424
31521, Saleich ,384,43.016667,0.966667,1,0
31522, Salerm ,54,43.3,0.833333,0,1.342
